Title,Author,My Rating,Date Read,Date Added,Exclusive Shelf,My Review,Favorite
"If Life Is a Game, These Are the Rules: Ten Rules for Being Human as Introduced in Chicken Soup for the Soul",Cherie Carter-Scott,3,06/11/2023,28/10/2023,read,Review #1,Yes
"Catching the Big Fish: Meditation, Consciousness, and Creativity: 10th Anniversary Edition",David Lynch,,27/10/2023,23/10/2023,read,Review #2,
"Big Magic: How to Live a Creative Life, and Let Go of Your Fear",Elizabeth Gilbert,,,15/10/2023,currently-reading,,
The Power Of Habit: Why We Do What We Do In Life And Business,Charles Duhigg,,,02/10/2023,currently-reading,,
Seneca's Letters from a Stoic,Seneca,,,02/10/2023,currently-reading,,
$100M Leads: How to Get Strangers To Want To Buy Your Stuff (Acquisition.com $100M Series Book 2),Alex Hormozi,4,30/09/2023,22/08/2023,read,Review #6,Yes
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,5,16/09/2023,10/09/2023,read,Review #7,
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4,22/08/2023,18/08/2023,read,Review #8,Yes
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,,28/07/2023,13/07/2023,read,Review #9,
"I Will Teach You To Be Rich: No guilt, no excuses - just a 6-week programme that works",Ramit Sethi,,,08/07/2023,currently-reading,,
"UNSCRIPTED: Life, Liberty, and the Pursuit of Entrepreneurship",M.J. DeMarco,5,02/07/2023,02/07/2023,read,Review #11,
How Google Works,Eric Schmidt,,,15/06/2022,currently-reading,,
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,,29/03/2022,21/03/2022,read,Review #13,
The Prophet (Macmillan Collector's Library),Kahlil Gibran,5,21/03/2022,19/03/2022,read,Review #14,
"Price Action Trading Secrets: Trading Strategies, Tools, and Techniques to Help You Become a Consistently Profitable Trader",Rayner Teo,,,21/03/2022,currently-reading,,
Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald Miller,,,21/03/2022,currently-reading,,
The Acquirer's Multiple: How the Billionaire Contrarians of Deep Value Beat the Market,Tobias E. Carlisle,,18/03/2022,16/03/2022,read,Review #17,
Rule #1: The Simple Strategy for Getting Rich--in Only 15 Minutes a Week!,Phil Town,,08/01/2021,18/10/2020,read,,
"The Shining (The Shining, #1)",Stephen King,,,29/06/2020,to-read,,
It,Stephen King,,,29/06/2020,to-read,,
